company_number,company_name,company_type,company_subtype,company_status,date_of_creation,date_of_cessation,sic_codes,is_community_interest_company,has_insolvency_history,governed_by,business_activity,branch_parent_company_name,branch_parent_company_number,registered_office_address,address_premises,address_line_1,address_line_2,address_locality,address_region,address_postal_code,address_country,insolvency_case_count,most_recent_case_type,most_recent_case_number,case_date_1_type,case_date_1_value,case_date_2_type,case_date_2_value,case_date_3_type,case_date_3_value,case_date_4_type,case_date_4_value,case_date_5_type,case_date_5_value,practitioners_count,practitioner_1_name,practitioner_1_role,practitioner_1_appointed_on,practitioner_1_ceased_to_act_on,practitioner_1_address,practitioner_2_name,practitioner_2_role,practitioner_2_appointed_on,practitioner_2_ceased_to_act_on,practitioner_2_address,practitioner_3_name,practitioner_3_role,practitioner_3_appointed_on,practitioner_3_ceased_to_act_on,practitioner_3_address,case_notes,all_case_types,earliest_insolvency_date,latest_insolvency_date
10742915,THE LYNTON PRACTICE LIMITED,ltd,,dissolved,2017-04-27,2024-03-19,86210,False,False,,,,,"Taylors Avenue Medical Centre, Taylors Avenue, Cleethorpes, North East Lincolnshire, DN35 0LJ, United Kingdom",,Taylors Avenue Medical Centre,Taylors Avenue,Cleethorpes,North East Lincolnshire,DN35 0LJ,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04323478,MEDICALLY LIMITED,ltd,,active,2001-11-15,,86210; 86220,False,False,,,,,"37 Main Street, Woodhouse Eaves, Leicestershire, LE12 8RY",,37 Main Street,Woodhouse Eaves,Leicestershire,,LE12 8RY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04159048,ASTON HEALTHCARE LIMITED,ltd,,active,2001-02-13,,86210,False,False,,,,,"Oriel House, 2-8 Oriel Road, Bootle, Merseyside, L20 7EP, England",,Oriel House,2-8 Oriel Road,Bootle,Merseyside,L20 7EP,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06317972,WHITEFIELD MEDICAL SERVICES LIMITED,ltd,,active,2007-07-19,,86210,False,False,,,,,"Yarnspinners Primary Health Care, Centre Carr Road, Nelson, Lancashire, BB9 7SR",,Yarnspinners Primary Health Care,Centre Carr Road,Nelson,Lancashire,BB9 7SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06769339,LL MEDICAL CARE LIMITED,ltd,,active,2008-12-09,,86210,False,False,,,,,"83-85 Baker Street, London, W1U 6AG, United Kingdom",,83-85 Baker Street,,London,,W1U 6AG,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC000648,UNIVERSITY OF BRISTOL,royal-charter,,active,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408330,HEALTH TECHNOLOGIES LIMITED,ltd,,liquidation,2016-10-03,,86210,False,True,,,,,"Care Of Restructuring And Recovery Services (Rrs) S&W Partners Llp, 45 Gresham Street, London, EC2V 7BG",,Care Of Restructuring And Recovery Services (Rrs) S&W Partners Llp,45 Gresham Street,London,,EC2V 7BG,,2,creditors-voluntary-liquidation,2,wound-up-on,2024-12-12,,,,,,,,,2,Cameron Gunn,practitioner,2024-12-12,,"C/O Rrs Dept S&W Partners Llp 45 Gresham Street, London, EC2V 7BG",Lee Antony Manning,practitioner,2024-12-12,,"45 Gresham Street, London, EC2V 7BG",,,,,,,in-administration; creditors-voluntary-liquidation,2023-12-20,2024-12-12
04825572,HEALTHCARE 360 LIMITED,ltd,,active,2003-07-08,,86210,False,False,,,,,"325-327 Oldfield Lane North, Greenford, Middlesex, UB6 0FX, United Kingdom",,325-327 Oldfield Lane North,,Greenford,Middlesex,UB6 0FX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13735592,JAUNTY HEALTHCARE LIMITED,ltd,,active,2021-11-10,,47730,False,False,,,,,"Jaunty Springs Health Centre, 53 Jaunty Way, Sheffield, South Yorkshire, S12 3DZ, England",,Jaunty Springs Health Centre,53 Jaunty Way,Sheffield,South Yorkshire,S12 3DZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06625215,FELLVIEW HEALTHCARE LIMITED,ltd,,liquidation,2008-06-20,,86210,False,True,,,,,"Adcroft Hilton, 269 Church Street, Blackpool, Lancashire, FY1 3BP",,Adcroft Hilton,269 Church Street,Blackpool,Lancashire,FY1 3BP,,1,members-voluntary-liquidation,1,wound-up-on,2021-01-18,declaration-solvent-on,2021-01-18,,,,,,,1,Rosalind Mary Hilton,practitioner,2021-01-18,,"269 Church Street, Blackpool, FY1 3PB",,,,,,,,,,,,members-voluntary-liquidation,2021-01-18,2021-01-18
00793558,TURNING POINT,private-limited-guarant-nsc,,active,1964-02-27,,87100; 87200; 88100; 88990,False,False,,,,,"America House, 2 America Square, London, EC3N 2LU, England",,America House,2 America Square,London,,EC3N 2LU,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06600430,COASTAL HEALTH CARE LIMITED,ltd,,active,2008-05-22,,99999,False,False,,,,,"Newfield House, Vicarage Lane, Blackpool, Lancashire, FY4 4EW, United Kingdom",,Newfield House,Vicarage Lane,Blackpool,Lancashire,FY4 4EW,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11243250,WITNEY GENERAL PRACTITIONERS LTD,ltd,,active,2018-03-08,,86210,False,False,,,,,"The Nuffield Practice, Welch Way, Witney, OX28 6JQ, United Kingdom",,The Nuffield Practice,Welch Way,Witney,,OX28 6JQ,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11263464,MEDICUS GENERAL PRACTICE LIMITED,ltd,,dissolved,2018-03-20,2022-07-12,86210,False,False,,,,,"Ground Floor Building 7 Queens Park, Team Valley Trading Estate, Gateshead, NE11 0QD, United Kingdom",,Ground Floor Building 7 Queens Park,Team Valley Trading Estate,Gateshead,,NE11 0QD,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07513083,KS MEDICAL CENTRE LTD,ltd,,active,2011-02-01,,86210,False,False,,,,,"33 Dormers Wells Lane, Southhall, Middlesex, UB1 3HY",,33 Dormers Wells Lane,,Southhall,Middlesex,UB1 3HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06649641,PARKFIELDS WOLVERHAMPTON MEDICAL SERVICES LIMITED,ltd,,dissolved,2008-07-17,2023-05-17,86210,False,True,,,,,"570-572 Etruria Road, Newcastle, Staffs, ST5 0SU",,570-572 Etruria Road,,Newcastle,Staffs,ST5 0SU,,1,members-voluntary-liquidation,1,wound-up-on,2020-03-06,dissolved-on,2023-05-17,,,,,,,2,Nicholas Laurie West,practitioner,2020-03-06,2020-10-22,"Barringtons Corporate Recovery The Rural Enterprise Centre, Battlefield Enterprise Park, Shrewsbury, Shropshire, SY1 3FE",Philip Barrington Wood,practitioner,2020-03-06,,"The Rural Enterprise Centre Battlefield Enterprise Park, Shrewsbury, SY1 3FE",,,,,,,members-voluntary-liquidation,2020-03-06,2023-05-17
06370270,THE GRANGE MEDICARE LIMITED,ltd,,dissolved,2007-09-13,2020-10-27,86210,False,False,,,,,"Suite One, 2 Haydons Road, London, SW19 1HL",,Suite One,2 Haydons Road,London,,SW19 1HL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05457789,FMC HEALTH SOLUTIONS LIMITED,ltd,,active,2005-05-20,,86210,False,False,,,,,"8-10 High Street, Ferrybridge, Knottingley, West Yorkshire, WF11 8NQ",,8-10 High Street,Ferrybridge,Knottingley,West Yorkshire,WF11 8NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06861783,FOREST COMMUNITY HEALTH LIMITED,ltd,,dissolved,2009-03-27,2024-10-18,86210,False,True,,,,,"C/O Larking Gowen Llp 1st Floor Prospect House, Rouen Road, Norwich, NR1 1RE",,C/O Larking Gowen Llp 1st Floor Prospect House,Rouen Road,Norwich,,NR1 1RE,,1,members-voluntary-liquidation,1,wound-up-on,2023-07-23,dissolved-on,2024-10-18,,,,,,,2,Lee Anthony Green,practitioner,2023-07-23,,"1st Floor, Prospect House Rouen Road, Norwich, NR1 1RE",Andrew Anderson Kelsall,practitioner,2023-07-23,,"1st Floor, Prospect House Rouen Road, Norwich, NR1 1RE",,,,,,,members-voluntary-liquidation,2023-07-23,2024-10-18
07073342,ST. JAMES MEDICAL PRACTICE LTD,ltd,,active,2009-11-11,,86210,False,False,,,,,"Ramsay House 18 Vera Avenue, Grange Park, London, N21 1RA",,Ramsay House 18 Vera Avenue,Grange Park,London,,N21 1RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07572720,BOLTON COMMUNITY PRACTICE C.I.C.,ltd,community-interest-company,active,2011-03-22,,86210,True,False,,,,,"Rex Buildings, Alderley Road, Wilmslow, Cheshire, SK9 1HY, England",,Rex Buildings,Alderley Road,Wilmslow,Cheshire,SK9 1HY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
