company_number,company_name,company_type,company_subtype,company_status,date_of_creation,date_of_cessation,sic_codes,is_community_interest_company,has_insolvency_history,governed_by,business_activity,branch_parent_company_name,branch_parent_company_number,registered_office_address,address_premises,address_line_1,address_line_2,address_locality,address_region,address_postal_code,address_country,insolvency_case_count,most_recent_case_type,most_recent_case_number,case_date_1_type,case_date_1_value,case_date_2_type,case_date_2_value,case_date_3_type,case_date_3_value,case_date_4_type,case_date_4_value,case_date_5_type,case_date_5_value,practitioners_count,practitioner_1_name,practitioner_1_role,practitioner_1_appointed_on,practitioner_1_ceased_to_act_on,practitioner_1_address,practitioner_2_name,practitioner_2_role,practitioner_2_appointed_on,practitioner_2_ceased_to_act_on,practitioner_2_address,practitioner_3_name,practitioner_3_role,practitioner_3_appointed_on,practitioner_3_ceased_to_act_on,practitioner_3_address,case_notes,all_case_types,earliest_insolvency_date,latest_insolvency_date
07110418,BADGER MIDLANDS MEDICAL LIMITED,ltd,,dissolved,2009-12-22,2024-09-10,86210,False,False,,,,,"Finance Dept, Eaton Wood Medical Centre, 1128, Tyburn Road, Birmingham, B24 0SY, England",,"Finance Dept, Eaton Wood Medical Centre, 1128",Tyburn Road,Birmingham,,B24 0SY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07211938,DR. ESA SURGERY LIMITED,ltd,,active,2010-04-06,,86210,False,False,,,,,"Crossens Way Business Park, Crossens Way, Southport, PR9 9LY, United Kingdom",,Crossens Way Business Park,Crossens Way,Southport,,PR9 9LY,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07559344,GATEWAY PRIMARY CARE C.I.C.,ltd,community-interest-company,active,2011-03-10,,86210,True,False,,,,,"Chatham House, Doncaster Gate, Rotherham, S65 1DJ",,Chatham House,Doncaster Gate,Rotherham,,S65 1DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11154506,PENCEAT MEDICAL LTD,ltd,,active,2018-01-17,,86210,False,False,,,,,"85 Great Portland Street, London, W1W 7LT, England",,85 Great Portland Street,,London,,W1W 7LT,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11682392,HOLES LANE MEDICAL LIMITED,ltd,,active,2018-11-16,,86210,False,False,,,,,"28 Holes Lane, Woolston, Warrington, WA1 4NE",,28 Holes Lane,,Woolston,Warrington,WA1 4NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180486,HARINGEY GP GROUP LTD,ltd,,active,2016-05-16,,86210,False,False,,,,,"48 Station Road, London, N22 7TY, England",,48 Station Road,,London,,N22 7TY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10809522,"DHU URGENT CARE (LEICESTER, LEICESTERSHIRE & RUTLAND) C.I.C.",ltd,community-interest-company,active,2017-06-08,,86210,True,False,,,,,"2 Roundhouse Road, Pride Park, Derby, DE24 8JE, England",,2 Roundhouse Road,Pride Park,Derby,,DE24 8JE,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC322010,HCRG CARE EAST RIDING LLP,llp,,active,2006-08-31,,,False,False,,,,,"The Heath Business And Technical Park, Runcorn, Cheshire, WA7 4QX, United Kingdom",,The Heath Business And Technical Park,,Runcorn,Cheshire,WA7 4QX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11602092,INNOVATION HEALTHCARE SOLUTIONS LIMITED,ltd,,dissolved,2018-10-03,2024-04-08,86900,False,True,,,,,"C/O Neum Insolvency, Suite 9, Amba House, 15 College Road, Harrow, Middlesex, HA1 1BA, England",,"C/O Neum Insolvency, Suite 9, Amba House",15 College Road,Harrow,Middlesex,HA1 1BA,England,1,creditors-voluntary-liquidation,1,due-to-be-dissolved-on,2024-04-08,wound-up-on,2022-02-10,,,,,,,1,Umang Patel,practitioner,2022-02-10,,"Suite 9 Amba House, 15 College Road, Harrow, Middlesex, HA1 1BA",,,,,,,,,,,,creditors-voluntary-liquidation,2022-02-10,2024-04-08
10662418,HEALTH AND BEYOND LIMITED,ltd,,active,2017-03-09,,86102; 86210; 86220; 86900,False,False,,,,,"175 Steelhouse Lane, Wolverhampton, West Midlands, WV2 2AU, United Kingdom",,175 Steelhouse Lane,,Wolverhampton,West Midlands,WV2 2AU,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08963748,PENNINE GP ALLIANCE LIMITED,ltd,,active,2014-03-27,,86210; 86220,False,False,,,,,"The Elsie Whiteley Innovation Centre Fao:  The Company Secretary, Offices 2 & 3, 1st Floor, Hopwood Lane, Halifax, HX1 5ER, England",,The Elsie Whiteley Innovation Centre Fao:  The Company Secretary,"Offices 2 & 3, 1st Floor, Hopwood Lane",Halifax,,HX1 5ER,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11871453,MIRFIELD MEDICAL PRACTICE LIMITED,ltd,,active,2019-03-09,,86210,False,False,,,,,"Mirfield Health Centre, Doctor Lane, Mirfield, West Yorkshire, WF14 8DU",,Mirfield Health Centre,Doctor Lane,Mirfield,West Yorkshire,WF14 8DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06599944,WILCODOC LIMITED,ltd,,active,2008-05-21,,86900,False,False,,,,,"Lake House 2 Port Way, Port Solent, Portsmouth, Hampshire, PO6 4TY, United Kingdom",,Lake House 2 Port Way,Port Solent,Portsmouth,Hampshire,PO6 4TY,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09608695,BETTERHEALTH BUCKS C.I.C.,private-limited-guarant-nsc,community-interest-company,active,2015-05-26,,86900,True,False,,,,,"The Stable Yard Vicarage Road, Stony Stratford, Milton Keynes, Buckinghamshire, MK11 1BN, England",,The Stable Yard Vicarage Road,Stony Stratford,Milton Keynes,Buckinghamshire,MK11 1BN,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12010890,THE MEADS MEDICAL PRACTICE LIMITED,ltd,,active,2019-05-22,,86210,False,False,,,,,"Victoria Court, 17 - 21 Ashford Road, Maidstone, Kent, ME14 5DA, United Kingdom",,Victoria Court,17 - 21 Ashford Road,Maidstone,Kent,ME14 5DA,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11957444,BROOKROYD LIMITED,ltd,,active,2019-04-23,,86210,False,False,,,,,"1 Hardman Street, Spinningfields, Manchester, Greater Manchester, M3 3HF, United Kingdom",,1 Hardman Street,Spinningfields,Manchester,Greater Manchester,M3 3HF,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09023605,CHARNWOOD GP NETWORK LIMITED,ltd,,active,2014-05-02,,96040,False,False,,,,,"Rosebery Medical Centre, Rosebery Street, Loughborough, Leicestershire, LE11 5DX, United Kingdom",,Rosebery Medical Centre,Rosebery Street,Loughborough,Leicestershire,LE11 5DX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06265334,SPECIALIST HEALTH SERVICES LTD,ltd,,dissolved,2007-06-01,2018-12-19,86210,False,True,,,,,"Bridge House, London Bridge, London, SE1 9QR",,Bridge House,London Bridge,London,,SE1 9QR,,1,members-voluntary-liquidation,1,wound-up-on,2017-10-16,dissolved-on,2018-12-19,,,,,,,2,Stephen Paul Grant,practitioner,2017-10-16,,"Wilkins Kennedy Llp Bridge House, London Bridge, London, SE1 9QR",Anthony Malcolm Cork,practitioner,2017-10-16,,"Wilkins Kennedy, Bridge House, London Bridge, London, SE1 9QR",,,,,,,members-voluntary-liquidation,2017-10-16,2018-12-19
10493407,MIDLAND MEDICAL COMPANY LIMITED,ltd,,active,2016-11-23,,86210,False,False,,,,,"166-168 Park Avenue North Park Avenue Medical Centre, 166-168 Park Avenue North, Northampton, NN3 2HZ, England",,166-168 Park Avenue North Park Avenue Medical Centre,166-168 Park Avenue North,Northampton,,NN3 2HZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07178590,NORTH LANCASHIRE DOCTORS LIMITED,ltd,,dissolved,2010-03-04,2018-04-17,86210,False,False,,,,,"Lynton House, 7-12 Tavistock Square, London, WC1H 9LT",,Lynton House,7-12 Tavistock Square,London,,WC1H 9LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09612540,SALUS MEDICAL SERVICES LIMITED,ltd,,active,2015-05-28,,86210,False,False,,,,,"Aldershot Centre For Health, Hospital Hill, Aldershot, GU11 1AY, England",,Aldershot Centre For Health,Hospital Hill,Aldershot,,GU11 1AY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12198482,FIVE TOWNS GP SERVICES LTD,ltd,,dissolved,2019-09-10,2023-09-26,86210,False,False,,,,,"Shelton Primary Care Centre, Norfolk Street, Stoke-On-Trent, ST1 4PB, England",,Shelton Primary Care Centre,Norfolk Street,Stoke-On-Trent,,ST1 4PB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11218055,BOWLAND HEALTH LTD,ltd,,active,2018-02-21,,86220,False,False,,,,,"The Old Dairy, Cow Ark, Whitewell Road, Clitheroe, Lancashire, BB7 3DG, United Kingdom",,"The Old Dairy, Cow Ark",Whitewell Road,Clitheroe,Lancashire,BB7 3DG,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC430448,CRANBROOK MEDICAL PRACTICE LLP,llp,,dissolved,2020-01-28,2024-04-16,,False,False,,,,,"Wessex House, Teign Road, Newton Abbot, Devon, TQ12 4AA, England",,Wessex House,Teign Road,Newton Abbot,Devon,TQ12 4AA,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11953807,PRIMARY CARE PARTNERS LIMITED,ltd,,active,2019-04-18,,86210,False,False,,,,,"108 High Street, Great Missenden, HP16 0BG, England",,108 High Street,,Great Missenden,,HP16 0BG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200941,COLCHESTER MEDICAL LTD,ltd,,active,2019-09-11,,86210,False,False,,,,,"West Bergholt Surgery, 2/3 Erle Havard Road, Colchester, CO6 3LH, England",,West Bergholt Surgery,2/3 Erle Havard Road,Colchester,,CO6 3LH,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08781483,CENTRAL MANCHESTER NETWORKS LTD,ltd,,active,2013-11-19,,86210,False,False,,,,,"Victoria Mills, 10 Lower Vickers Street, Miles Platting, Manchester, M40 7LH, England",,"Victoria Mills, 10 Lower Vickers Street",Miles Platting,Manchester,,M40 7LH,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11866437,ALLIANCE PRIMARY CARE LIMITED,ltd,,active,2019-03-07,,86210,False,False,,,,,"Hollygreen Practice Goldthorpe Green, Goldthorpe, Rotherham, S63 9EH, United Kingdom",,Hollygreen Practice Goldthorpe Green,Goldthorpe,Rotherham,,S63 9EH,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12264331,PARTNERSHEALTH 2020 LTD,ltd,,active,2019-10-16,,86210,False,False,,,,,"Partnershealth 2020 Ltd Cotgrave Surgery, The Cotgrave Hub Rivermead, Cotgrave, Nottingham, NG12 3UQ, England",,Partnershealth 2020 Ltd Cotgrave Surgery,The Cotgrave Hub Rivermead,Cotgrave,Nottingham,NG12 3UQ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12440371,SALISBURY AVENUE HEALTHCARE LIMITED,ltd,,active,2020-02-04,,86210,False,False,,,,,"Charles Rippin And Turner, Middlesex House, 130 College Road, London, HA1 1BQ, England",,"Charles Rippin And Turner, Middlesex House",130 College Road,London,,HA1 1BQ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12383164,HASLINGDEN HEALTHCARE LIMITED,ltd,,active,2020-01-02,,86900,False,False,,,,,"1 Hardman Street, Spinningfields, Manchester, Greater Manchester, M3 3HF, United Kingdom",,1 Hardman Street,Spinningfields,Manchester,Greater Manchester,M3 3HF,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12034287,SPRINGHEAD HEALTH LIMITED,ltd,,active,2019-06-05,,86210; 86220; 86900; 96040,False,False,,,,,"Fleet Health Campus Vale Road, Northfleet, Gravesend, Kent, DA11 8BZ, England",,Fleet Health Campus Vale Road,Northfleet,Gravesend,Kent,DA11 8BZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12633335,SPRING HALL GROUP PRACTICE LIMITED,ltd,,active,2020-05-29,,86210,False,False,,,,,"Spring Hall Group Practice, 173c Spring Hall Lane, Halifax, HX1 4JG, England",,Spring Hall Group Practice,173c Spring Hall Lane,Halifax,,HX1 4JG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11762898,BOULEVARD MEDICAL PRACTICE LTD,ltd,,active,2019-01-11,,86210,False,False,,,,,"Boulevard Medical Practice, 116 Savile Park Road, Halifax, HX1 2ES, United Kingdom",,Boulevard Medical Practice,116 Savile Park Road,Halifax,,HX1 2ES,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12264363,HAZELVALLEY LIMITED,ltd,,active,2019-10-16,,86210,False,False,,,,,"7-9 Manchester Road, Haslingden, Rossendale, BB4 5SL, United Kingdom",,7-9 Manchester Road,Haslingden,Rossendale,,BB4 5SL,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12268737,MEDICUS HEALTH PARTNERS LTD,ltd,,active,2019-10-17,,86210,False,False,,,,,"28 Tenniswood Road, Enfield, EN1 3LL, England",,28 Tenniswood Road,,Enfield,,EN1 3LL,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10075871,SOUTH DOWNS HEALTH AND CARE LIMITED,ltd,,active,2016-03-21,,86210,False,False,,,,,"4 Cornfield Terrace, Eastbourne, East Sussex, BN21 4NN, England",,4 Cornfield Terrace,,Eastbourne,East Sussex,BN21 4NN,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11414097,CANNOCK CHASE CLINICAL ALLIANCE LTD,ltd,,dissolved,2018-06-13,2023-01-31,86220,False,False,,,,,"Newport House, Newport Road, Stafford, ST16 1DA, England",,Newport House,Newport Road,Stafford,,ST16 1DA,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08443132,ACHOR HEALTHCARE LIMITED,ltd,,dissolved,2013-03-13,2025-05-27,86210,False,False,,,,,"The Old Wheel House, 31/37 Church Street, Reigate, Surrey, RH2 0AD, England",,The Old Wheel House,31/37 Church Street,Reigate,Surrey,RH2 0AD,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08486885,ALEXIN HEALTHCARE C.I.C.,ltd,community-interest-company,active,2013-04-12,,86900,True,False,,,,,"West Hallam Medical Centre The Dales, West Hallam, Ilkeston, DE7 6GR, England",,West Hallam Medical Centre The Dales,West Hallam,Ilkeston,,DE7 6GR,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06120842,WORCESTER STREET CONSULTANCY LIMITED,ltd,,dissolved,2007-02-21,2019-04-23,86210,False,False,,,,,"Ramsay House 18 Vera Avenue, Grange Park, London, N21 1RA",,Ramsay House 18 Vera Avenue,Grange Park,London,,N21 1RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13094638,RESILIENCE MEDICINE CLINICS LTD,ltd,,active,2020-12-22,,86210; 86220,False,False,,,,,"85 Great Portland Street, 85 Great Portland Street, London, W1W 7LT, England",,85 Great Portland Street,85 Great Portland Street,London,,W1W 7LT,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08661438,ARUNA MEDICAL SERVICES LIMITED,private-limited-guarant-nsc,,dissolved,2013-08-22,2017-10-03,74909,False,False,,,,,"G1 Bellringer Road, Trentham Business Quarter, Stoke On Trent, Staffordshire, ST4 8GB",,G1 Bellringer Road,Trentham Business Quarter,Stoke On Trent,Staffordshire,ST4 8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05555460,OPEROSE HEALTH (GROUP) UK LIMITED,ltd,,active,2005-09-06,,86210,False,False,,,,,"Prospect House, 108 High Street, Great Missenden, HP16 0BG, England",,Prospect House,108 High Street,Great Missenden,,HP16 0BG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07715222,PIONEER WOUND HEALING CENTRES CIC,ltd,community-interest-company,active,2011-07-22,,86220,True,False,,,,,"Wish Tower House, 1c Edward Road, Eastbourne, East Sussex, BN23 8AS, England",,Wish Tower House,1c Edward Road,Eastbourne,East Sussex,BN23 8AS,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11477343,SAJ MEDICAL LTD,ltd,,active,2018-07-23,,86220,False,False,,,,,"1 Hardman Street, Spinningfields, Manchester, Greater Manchester, M3 3HF, United Kingdom",,1 Hardman Street,Spinningfields,Manchester,Greater Manchester,M3 3HF,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12614852,STETH & DERM SCOPE LTD,ltd,,active,2020-05-20,,86210; 86220,False,False,,,,,"Ramsay House, 18 Vera Avenue, London, N21 1RA, England",,Ramsay House,18 Vera Avenue,London,,N21 1RA,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12390316,HALCYON AESTHETICS LTD,ltd,,liquidation,2020-01-07,,86220; 96020,False,True,,,,,"Lawrence House, 5 St. Andrews Hill, Norwich, Norfolk, NR2 1AD",,Lawrence House,5 St. Andrews Hill,Norwich,Norfolk,NR2 1AD,,1,creditors-voluntary-liquidation,1,wound-up-on,2024-03-06,,,,,,,,,1,Jamie Playford,practitioner,2024-03-06,,"Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD",,,,,,,,,,,,creditors-voluntary-liquidation,2024-03-06,2024-03-06
13003182,SPICED PEAR LIMITED,ltd,,active,2020-11-06,,86220,False,False,,,,,"Belmont Suite Paragon Business Park, Chorley New Road, Bolton, Lancashire, BL6 6HG, United Kingdom",,Belmont Suite Paragon Business Park,Chorley New Road,Bolton,Lancashire,BL6 6HG,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08493276,BPL REALISATIONS LIMITED,ltd,,administration,2013-04-17,,86900,False,True,,,,,"BPL REALISATIONS LIMITED, Suite 3 Avery House 69 North Street, Brighton, East Sussex, BN41 1DH",,BPL REALISATIONS LIMITED,Suite 3 Avery House 69 North Street,Brighton,East Sussex,BN41 1DH,,1,in-administration,1,administration-started-on,2023-08-30,,,,,,,,,2,Mark Granville Firmin,practitioner,,,"Suite 3 Regency House  91 Western Road, Brighton, East Sussex, BN1 2NW",Andrea Jakes,practitioner,,,"Suite 3 Regency House 91 Western Road, Brighton, BN1 2NW",,,,,,,in-administration,2023-08-30,2023-08-30
12082259,LISLE CONSULTING LTD,ltd,,active,2019-07-03,,86220,False,False,,,,,"Harrow House, 23 West Street, Haslemere, GU27 2AB, England",,Harrow House,23 West Street,Haslemere,,GU27 2AB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07325547,MED-CO SECURE HEALTHCARE SERVICES LTD,ltd,,active,2010-07-26,,86210,False,False,,,,,"120 St. Teilo Street, Pontarddulais, Swansea, SA4 8RE, Wales",,120 St. Teilo Street,Pontarddulais,Swansea,,SA4 8RE,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC383917,ICOS MK LLP,llp,,dissolved,2013-04-02,2018-08-07,,False,False,,,,,"Chancery House, 199 Silbury Boulevard, Milton Keynes, MK9 1JL, England",,Chancery House,199 Silbury Boulevard,Milton Keynes,,MK9 1JL,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03095631,WOLVERHAMPTON DOCTORS ON CALL LIMITED,private-limited-guarant-nsc,,active,1995-08-25,,86210,False,False,,,,,"Fifth Avenue, Showell Park, Wolverhampton, West Midlands, WV10 9ST",,Fifth Avenue,Showell Park,Wolverhampton,West Midlands,WV10 9ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05477840,INNOVATIONS IN PRIMARY CARE LTD,ltd,,liquidation,2005-06-10,,86210,False,True,,,,,"1580 Parkway, Solent Business Park, Whiteley, Fareham, Hampshire, PO15 7AG",,1580 Parkway,"Solent Business Park, Whiteley",Fareham,Hampshire,PO15 7AG,,1,creditors-voluntary-liquidation,1,wound-up-on,2024-11-08,,,,,,,,,3,Michael Robert Fortune,practitioner,2024-11-08,2026-03-27,"1580 Parkway Solent Business Park, Whiteley, Fareham, Hampshire, PO15 7AG",David Smithson,practitioner,2024-11-08,,"1580 Parkway Solent Business Park, Whiteley, Fareham, Hampshire, PO15 7AG",Stewart Goldsmith,practitioner,2026-03-27,,"1580 Parkway Solent Business Park, Whiteley, Fareham, Hampshire, PO15 7AG",,creditors-voluntary-liquidation,2024-11-08,2024-11-08
13485110,AVENUE FAMILY HEALTHCARE LIMITED,ltd,,active,2021-06-30,,86210,False,False,,,,,"First Floor, Middlesex House, 130 College Road, Harrow, HA1 1BQ, England",,"First Floor, Middlesex House",130 College Road,Harrow,,HA1 1BQ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05834392,FIRST CONTACT CLINICAL COMMUNITY INTEREST COMPANY,ltd,community-interest-company,active,2006-06-01,,86900,True,False,,,,,"First Contact Clinical Business Works, Henry Robson Way, South Shields, Tyne And Wear, NE33 1RF",,First Contact Clinical Business Works,Henry Robson Way,South Shields,Tyne And Wear,NE33 1RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04801910,PUTTING PATIENTS FIRST LTD,ltd,,active,2003-06-17,,82990,False,False,,,,,"The Norfolk Clinical Park Rowan House, Buxton, Norwich, Norfolk, NR10 5RH, England",,The Norfolk Clinical Park Rowan House,Buxton,Norwich,Norfolk,NR10 5RH,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01955497,KCA (UK),private-limited-guarant-nsc-limited-exemption,,dissolved,1985-11-06,2017-04-25,86900; 88990,False,False,,,,,"Unit H, Jubilee Way, Faversham, Kent, ME13 8GD",,Unit H,Jubilee Way,Faversham,Kent,ME13 8GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01227970,RETHINK MENTAL ILLNESS,private-limited-guarant-nsc,,active,1975-09-29,,86900,False,False,,,,,"28 Albert Embankment, London, SE1 7GR, England",,28 Albert Embankment,,London,,SE1 7GR,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14059408,BMZ LAMBERT SPORTS CLINIC LTD,ltd,,active,2022-04-21,,47749; 86210; 86220,False,False,,,,,"20-22 Wenlock Road, London, N1 7GU, England",,20-22 Wenlock Road,,London,,N1 7GU,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08614024,DOCTOR CARE ANYWHERE LIMITED,ltd,,active,2013-07-17,,86220,False,False,,,,,"19-21 Great Portland Street, London, W1W 8QB, England",,19-21 Great Portland Street,,London,,W1W 8QB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02560474,THE FORWARD TRUST,private-limited-guarant-nsc-limited-exemption,,active,1990-11-20,,78109; 86220; 87900; 88990,False,False,,,,,"Unit 106,  Edinburgh House, 170 Kennington Lane, London, SE11 5DP, United Kingdom",,"Unit 106,  Edinburgh House, 170 Kennington Lane",,London,,SE11 5DP,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10946488,FERTILITY BRISTOL LIMITED,ltd,,active,2017-09-05,,86210,False,False,,,,,"Freshford House, Redcliffe Way, Bristol, BS1 6NL, England",,Freshford House,Redcliffe Way,Bristol,,BS1 6NL,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13337453,CITY & HACKNEY OFFICE OF PCNS LIMITED,ltd,,dissolved,2021-04-15,2025-07-22,82110,False,False,,,,,"Ramsay Brown Llp The Brentano Suite, Solar House, 915 High Road, London, Middlesex, N12 8QJ, United Kingdom",,Ramsay Brown Llp The Brentano Suite,"Solar House, 915 High Road",London,Middlesex,N12 8QJ,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12352763,ONE WIRRAL CIC,private-limited-guarant-nsc,community-interest-company,active,2019-12-06,,96040,True,False,,,,,"2 Oxton Road, Birkenhead, Wirral, CH41 2QJ, England",,2 Oxton Road,,Birkenhead,Wirral,CH41 2QJ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13964865,CHERRY TREE SURGERY LTD,ltd,,active,2022-03-09,,86210,False,False,,,,,"Cherry Tree Surgery, 132 Upper Commercial Street, Batley, West Yorkshire, WF17 5DH, United Kingdom",,Cherry Tree Surgery,132 Upper Commercial Street,Batley,West Yorkshire,WF17 5DH,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09116741,HEALTHBRIDGE DIRECT LIMITED,ltd,,active,2014-07-04,,86220,False,False,,,,,"The Vintry, Redbridge Lane East, Ilford, IG4 5EY, England",,The Vintry,Redbridge Lane East,Ilford,,IG4 5EY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12561490,MARPE KALOS LTD,ltd,,active,2020-04-17,,86210; 86220; 86900,False,False,,,,,"49 Station Road, Polegate, BN26 6EA, England",,49 Station Road,,Polegate,,BN26 6EA,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13542514,FORMBY GP LIMITED,ltd,,active,2021-08-02,,86210,False,False,,,,,"4 Victoria Buildings Victoria Road, Formby, Liverpool, L37 7DB, England",,4 Victoria Buildings Victoria Road,Formby,Liverpool,,L37 7DB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11595229,BRUNEL HEALTH GROUP LIMITED,ltd,,active,2018-09-28,,86210,False,False,,,,,"Westrop Medical Practice Newburgh Place, Highworth, Swindon, SN6 7DN, United Kingdom",,Westrop Medical Practice Newburgh Place,Highworth,Swindon,,SN6 7DN,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC411316,WIGAN GP ALLIANCE LLP,llp,,active,2016-04-14,,,False,False,,,,,"Bevan House, 17 Beecham Court, Wigan, WN3 6PR, England",,Bevan House,17 Beecham Court,Wigan,,WN3 6PR,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11709255,THE DOCTOR'S METHOD LTD,ltd,,active,2018-12-03,,47750; 86210; 96040,False,False,,,,,"Sterling House Fulbourne Road, Walthamstow, London, E17 4EE, England",,Sterling House Fulbourne Road,Walthamstow,London,,E17 4EE,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13518788,SIMYA HEALTH LTD,ltd,,active,2021-07-19,,86900,False,False,,,,,"53 Macquarie Quay, Eastbourne, BN23 5AT, England",,53 Macquarie Quay,,Eastbourne,,BN23 5AT,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13763565,LHP LONDON LTD,ltd,,dissolved,2021-11-24,2023-11-07,86210,False,False,,,,,"Paxton Green Health Centre, 1 Alleyn Park, London, SE21 8AU, England",,Paxton Green Health Centre,1 Alleyn Park,London,,SE21 8AU,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13603705,BEECHWOOD HOUSE HEALTHCARE LTD,ltd,,active,2021-09-06,,86220,False,False,,,,,"7 Summerfield Road, Wolverhampton, WV1 4PR, United Kingdom",,7 Summerfield Road,,Wolverhampton,,WV1 4PR,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
